# ModuleActionPlatformSupport.generated.tsv
# Generated from ClosedSource/DSX/Modules/**/dsx.json `actions[].platforms` by prepare_modules_android.rb.
# Support facts only: this file does not load or promise any package implementation.
# scheme.action<TAB>comma-separated concrete implementation platforms
settings.overlay	ios,android
settings.wifi	ios,android
settingsapp.battery	ios,android
settingsapp.bluetooth	ios,android
settingsapp.defaults	ios,android
settingsapp.locale	ios,android
settingsapp.location	ios,android
settingsapp.notifications	ios,android
settingsapp.overlay	ios,android
settingsapp.wifi	ios,android
speechrecognition.polyfill	ios,android,macos
statusbar.text	ios,android
statusbar.transparent	ios,android
statusbarbackgroundcolor.text	ios,android
statusbarbackgroundcolor.transparent	ios,android
statusbarcolor.text	ios,android
statusbarcolor.transparent	ios,android
statusbartextcolor.text	ios,android
statusbartextcolor.transparent	ios,android
store.billingmessages	android
store.catalog	ios,android
store.checkout	ios,android
store.dismiss	ios,android
store.entitlements	ios,android
store.manage	ios,android
store.paywall	ios,android
store.product	ios,android
store.receipts	ios,android
store.refund	ios
store.restore	ios,android
store.subscription	ios,android
store.update	ios,android
stream.end	ios,android
stream.login	ios,android
stream.logout	ios,android
stream.open	ios,android
stream.theme	ios,android
stripe.connectonboard	ios,web,macos
stripe.manage	ios,android,macos
studio.addtrack	ios,android
studio.aiautotune	ios,android
studio.aieqauto	ios,android
studio.aiisolate	ios,android
studio.armtrack	ios,android
studio.automix	ios,android
studio.cancelplugin	ios,android
studio.clear	ios,android
studio.copyclip	ios,android
studio.deleteautotunepreset	ios,android
studio.deleteclip	ios,android
studio.deletetrack	ios,android
studio.detectnotes	ios,android
studio.duplicateclip	ios,android
studio.export	ios,android
studio.fixvocal	ios,android
studio.importclip	ios,android
studio.makechoir	ios,android
studio.monitor	ios,android
studio.moveclip	ios,android
studio.opensettings	ios,android
studio.pasteclip	ios,android
studio.pauseplayback	ios,android
studio.play	ios,android
studio.record	ios,android
studio.redo	ios,android
studio.registerplugins	ios,android
studio.resetnotes	ios,android
studio.revertfix	ios,android
studio.runplugin	ios,android
studio.saveautotunepreset	ios,android
studio.seek	ios,android
studio.setchain	ios,android
studio.setcountin	ios,android
studio.setlivetune	ios,android
studio.setlyrics	ios,android
studio.setmetronome	ios,android
studio.setnotetarget	ios,android
studio.settempo	ios,android
studio.settrackautomation	ios,android
studio.settrackautotune	ios,android
studio.settrackcompressor	ios,android
studio.settrackdenoise	ios,android
studio.settrackecho	ios,android
studio.settrackenhance	ios,android
studio.settrackeq	ios,android
studio.settrackgain	ios,android
studio.settrackmaster	ios,android
studio.settrackmute	ios,android
studio.settrackpan	ios,android
studio.settrackreverb	ios,android
studio.settracksolo	ios,android
studio.splitclip	ios,android
studio.stop	ios,android
studio.trimclip	ios,android
studio.undo	ios,android
studio.undochain	ios,android
studio.undocomp	ios,android
studio.undoeq	ios,android
studio.undomaster	ios,android
studioeditor.close	ios,android
studioeditor.open	ios,android
terra.connect	ios,android
terra.data	ios,android
terra.disconnect	ios,android
terra.permissions	ios,android
terra.settings	ios,android
terra.sync	ios,android
trackingconsent.request	ios
trackingconsent.status	ios
user-disable-tracking.request	ios
user-disable-tracking.status	ios
verticalplayer.buy	ios,android
verticalplayer.close	ios,android
verticalplayer.download	ios,android
verticalplayer.downloads	ios,android
verticalplayer.getcoins	ios,android
verticalplayer.refresh	ios,android
verticalplayer.removealldownloads	ios,android
verticalplayer.removedownload	ios,android
verticalplayer.restore	ios,android
verticalplayer.skip	ios,android
verticalplayer.start	ios,android
verticalplayer.update	ios,android
watch.ambient	ios,android
watch.audio	ios,android
watch.audiostop	ios,android
watch.battery	ios,android
watch.command	ios,android
watch.crown	ios,android
watch.dictate	ios,android
watch.face.clear	ios,android
watch.face.set	ios,android
watch.haptic	ios,android
watch.health.heartrate	ios,android
watch.health.read	ios,android
watch.health.steps	ios,android
watch.health.workout	ios,android
watch.keepawake	ios,android
watch.locate	ios,android
watch.motion	ios,android
watch.notify	ios,android
watch.notifycancel	ios,android
watch.notifyclear	ios,android
watch.openonphone	ios,android
watch.reachable	ios,android
